"Category","Player","Team","Z_Score"
"3pt_Shooting","Sam Merrill","CLE",2.82936568711486
"3pt_Shooting","LaMelo Ball","CHA",2.4332578815605
"3pt_Shooting","Sam Hauser","BOS",2.10204251160298
"3pt_Shooting","Simone Fontecchio","MIA",2.08870484749219
"3pt_Shooting","Isaiah Joe","OKC",2.07111355775166
"3pt_Shooting","Grayson Allen","PHX",1.9396006685387
"3pt_Shooting","Anfernee Simons","BOS",1.8915922713309
"3pt_Shooting","Miles McBride","NYK",1.82388779926383
"3pt_Shooting","Collin Gillespie","PHX",1.78542980089161
"3pt_Shooting","AJ Green","MIL",1.77018819795525
"Defense","Jay Huff","IND",3.39816109229966
"Defense","Dylan Cardwell","SAC",3.1678377587462
"Defense","Paul Reed","DET",3.13314845651918
"Defense","Goga Bitadze","ORL",2.93678450333485
"Defense","John Konchar","MEM",2.37387105952161
"Defense","Mitchell Robinson","NYK",2.34204125926041
"Defense","Dru Smith","MIA",2.32360944614165
"Defense","Walker Kessler","UTA",2.24428986071672
"Defense","Adem Bona","PHI",2.1634426150685
"Defense","Daniel Gafford","DAL",2.06798676786702
"Playmaking","Tyus Jones","ORL",1.32284643718893
"Playmaking","Davion Mitchell","MIA",1.20321624204839
"Playmaking","T.J. McConnell","IND",1.18777282209212
"Playmaking","Jamal Shead","TOR",1.10691453937114
"Playmaking","Tre Jones","CHI",1.08654709479916
"Playmaking","Trae Young","ATL",1.01186898483359
"Playmaking","Payton Pritchard","BOS",0.981474082534076
"Playmaking","Cam Spencer","MEM",0.978818269375109
"Playmaking","Immanuel Quickley","TOR",0.800752870693395
"Playmaking","Ryan Nembhard","DAL",0.788888153305
"Rebounding","Mitchell Robinson","NYK",3.31851886456227
"Rebounding","Andre Drummond","PHI",3.03270229230357
"Rebounding","Zach Edey","MEM",2.84738009607305
"Rebounding","Kel'el Ware","MIA",2.63690615103296
"Rebounding","Donovan Clingan","POR",2.59764405714538
"Rebounding","Isaiah Hartenstein","OKC",2.33846640249709
"Rebounding","Jusuf Nurkić","UTA",2.29042077769142
"Rebounding","Domantas Sabonis","SAC",2.25788437975096
"Rebounding","Steven Adams","HOU",2.23981114219424
"Rebounding","Jalen Duren","DET",2.19407573895132
"Scoring_Offense","Kawhi Leonard","LAC",3.21098246069521
"Scoring_Offense","Joel Embiid","PHI",3.09064121264055
"Scoring_Offense","Lauri Markkanen","UTA",2.61012809677495
"Scoring_Offense","Austin Reaves","LAL",2.50086230190116
"Scoring_Offense","Zion Williamson","NOP",2.49533130071142
"Scoring_Offense","Shaedon Sharpe","POR",2.21317607787767
"Scoring_Offense","Kristaps Porziņģis","ATL",2.10397862159207
"Scoring_Offense","LaMelo Ball","CHA",2.06579395475516
"Scoring_Offense","Tyler Herro","MIA",1.99821881654401
"Scoring_Offense","Trae Young","ATL",1.98041219182024
