"team_abbr","need_urgency","top_need","trade_targets"
"SAC",1.598,"Scoring/Offense","Kawhi Leonard (+5.73 lift); Joel Embiid (+5.61 lift); Lauri Markkanen (+5.13 lift)"
"UTA",1.187,"3pt Shooting","Sam Merrill (+5.12 lift); LaMelo Ball (+4.72 lift); Sam Hauser (+4.39 lift)"
"LAL",0.82,"3pt Shooting","Sam Merrill (+4.81 lift); LaMelo Ball (+4.41 lift); Sam Hauser (+4.07 lift)"
"WAS",0.723,"Interior/Perimeter Defense","Jay Huff (+4.87 lift); Dylan Cardwell (+4.64 lift); Paul Reed (+4.6 lift)"
"CHI",0.699,"Rebounding","Mitchell Robinson (+4.8 lift); Andre Drummond (+4.51 lift); Zach Edey (+4.33 lift)"
"ATL",0.682,"Scoring/Offense","Kawhi Leonard (+4.48 lift); Joel Embiid (+4.36 lift); Lauri Markkanen (+3.88 lift)"
"NOP",0.677,"Interior/Perimeter Defense","Jay Huff (+4.47 lift); Dylan Cardwell (+4.23 lift); Paul Reed (+4.2 lift)"
"DAL",0.593,"3pt Shooting","Sam Merrill (+4.02 lift); LaMelo Ball (+3.62 lift); Sam Hauser (+3.28 lift)"
"BKN",0.508,"Interior/Perimeter Defense","Jay Huff (+4.32 lift); Dylan Cardwell (+4.09 lift); Paul Reed (+4.05 lift)"
"MIL",0.45,"Scoring/Offense","Kawhi Leonard (+4.26 lift); Joel Embiid (+4.14 lift); Lauri Markkanen (+3.66 lift)"
"LAC",0.225,"3pt Shooting","Sam Merrill (+3.71 lift); LaMelo Ball (+3.31 lift); Sam Hauser (+2.98 lift)"
"MEM",0.163,"Scoring/Offense","Kawhi Leonard (+4.2 lift); Joel Embiid (+4.07 lift); Lauri Markkanen (+3.59 lift)"
"IND",0.144,"Scoring/Offense","Kawhi Leonard (+3.84 lift); Joel Embiid (+3.72 lift); Lauri Markkanen (+3.23 lift)"
"POR",-0.032,"Interior/Perimeter Defense","Jay Huff (+4.66 lift); Dylan Cardwell (+4.42 lift); Paul Reed (+4.39 lift)"
"ORL",-0.074,"3pt Shooting","Sam Merrill (+3.53 lift); LaMelo Ball (+3.13 lift); Sam Hauser (+2.79 lift)"
"PHX",-0.109,"Scoring/Offense","Kawhi Leonard (+3.84 lift); Joel Embiid (+3.72 lift); Lauri Markkanen (+3.23 lift)"
"MIA",-0.207,"Scoring/Offense","Kawhi Leonard (+3.22 lift); Joel Embiid (+3.1 lift); Lauri Markkanen (+2.62 lift)"
"GSW",-0.229,"Rebounding","Mitchell Robinson (+4.72 lift); Andre Drummond (+4.43 lift); Zach Edey (+4.24 lift)"
"CHA",-0.242,"Interior/Perimeter Defense","Jay Huff (+4.43 lift); Dylan Cardwell (+4.2 lift); Paul Reed (+4.16 lift)"
"PHI",-0.34,"3pt Shooting","Sam Merrill (+3.46 lift); LaMelo Ball (+3.06 lift); Sam Hauser (+2.72 lift)"
"DET",-0.407,"Scoring/Offense","Kawhi Leonard (+3.41 lift); Joel Embiid (+3.29 lift); Lauri Markkanen (+2.8 lift)"
"NYK",-0.444,"Interior/Perimeter Defense","Jay Huff (+4.38 lift); Dylan Cardwell (+4.15 lift); Paul Reed (+4.11 lift)"
"TOR",-0.469,"3pt Shooting","Sam Merrill (+3.79 lift); LaMelo Ball (+3.39 lift); Sam Hauser (+3.05 lift)"
"CLE",-0.547,"Rebounding","Mitchell Robinson (+3.98 lift); Andre Drummond (+3.69 lift); Zach Edey (+3.5 lift)"
"MIN",-0.615,"Rebounding","Mitchell Robinson (+3.69 lift); Andre Drummond (+3.4 lift); Zach Edey (+3.21 lift)"
"SAS",-0.716,"Rebounding","Mitchell Robinson (+4.31 lift); Andre Drummond (+4.02 lift); Zach Edey (+3.83 lift)"
"DEN",-0.882,"Interior/Perimeter Defense","Jay Huff (+4.07 lift); Dylan Cardwell (+3.84 lift); Paul Reed (+3.8 lift)"
"HOU",-0.898,"3pt Shooting","Sam Merrill (+2.56 lift); LaMelo Ball (+2.16 lift); Sam Hauser (+1.82 lift)"
"BOS",-0.932,"3pt Shooting","Sam Merrill (+3.55 lift); LaMelo Ball (+3.15 lift); Simone Fontecchio (+2.8 lift)"
"OKC",-1.323,"Rebounding","Mitchell Robinson (+4.15 lift); Andre Drummond (+3.86 lift); Zach Edey (+3.67 lift)"
